Using CUDA GPU
[OK] All hyperparameters validated successfully!
   Problem size: 5W x 5T, MAX_TIME=5
   Model: EMBEDDING_DIM=128, HEAD_NUM=8
   Training: 200 epochs, 5 episodes/epoch
config             Greedy    Auction   Sequential   Ours(K=0)
5M_5N_5T           0.0145     0.0556       0.0338      0.0230
5M_7N_5T           0.0154     0.0590       0.0349      0.0234
10M_15N_5T         0.0286     0.0721       0.0771      0.0379
15M_15N_5T         0.0399     0.1194       0.0968      0.0473
15M_20N_5T         0.0449     0.1328       0.1052      0.0551
20M_30N_5T         0.0716     0.1819       0.1538      0.0840
30M_30N_10T        0.1508     0.4293       0.3594      0.1519
30M_40N_10T        0.1591     0.4728       0.4042      0.1779
40M_50N_10T        0.2500     0.7064       0.5830      0.2604
50M_50N_15T        0.3800     1.0016       0.8738      0.3691
50M_70N_15T        0.4889     1.2967       1.0549      0.4601
70M_100N_15T       0.8464     2.1235       1.7923      0.7883

tier               Greedy    Auction   Sequential   Ours(K=0)
Small              0.0195     0.0622       0.0486      0.0281
Medium             0.0521     0.1447       0.1186      0.0621
Large              0.1866     0.5361       0.4489      0.1967
Battlefield        0.5718     1.4739       1.2403      0.5392
MEAN               0.2075     0.5542       0.4641      0.2065
